id	group	capability	candidate_evaluations	metrics	license_status	contamination_key	gate_status
CAUS-03	temporal_causal	cause_effect_direction_uncertainty	causal direction datasets pending license; custom directional causal suite	accuracy; brier; ece	PENDING_N0_R2_EXACT_LICENSE_REVIEW	CAUS-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-01	pragmatics	implicature	PUB implicature; ImpliedMeaningPreference	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-02	pragmatics	presupposition	PUB presupposition; ImpliedMeaningPreference transfer	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-03	pragmatics	indirect_speech_acts	PUB/task candidates; custom indirect request/refusal suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-04	pragmatics	literal_vs_intended_meaning	PaCE; PUB; custom context-flip suite	accuracy; context_sensitivity_gap	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-05	pragmatics	sarcasm_irony_teasing	SemEval sarcasm candidates pending license; custom contrastive suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-06	pragmatics	politeness_register_face_threat	Stanford Politeness candidates pending license; custom register/face suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-06	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
PRAG-07	pragmatics	conversational_relevance_ellipsis	dialogue implicature candidates; custom omitted-information suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	PRAG-07	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SOC-01	social_emotional	speaker_intent_belief_attribution	ToM candidates; custom belief/intent minimal pairs	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SOC-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SOC-02	social_emotional	theory_of_mind_distinctions	ToMi/FauxPas-EAI audited candidates; custom false-belief suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SOC-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SOC-03	social_emotional	social_relationship_role_inference	SocialIQa audited subset candidate; relationship dialogue candidates	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SOC-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EMO-01	social_emotional	emotion_from_context	GoEmotions candidate; emotion-in-context datasets pending license	macro_f1; auprc	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EMO-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EMO-02	social_emotional	emotion_appraisal_reason	appraisal datasets/papers; custom appraisal contrast set	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EMO-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SOC-04	social_emotional	relationship_sensitive_interpretation	relationship dialogue candidates; custom role-swapped suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SOC-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
SOC-05	social_emotional	social_norm_reasoning_without_stereotype_shortcuts	audited social reasoning suites; counterfactual demographic-neutralized variants	accuracy; worst_group_accuracy; robustness_delta	PENDING_N0_R2_EXACT_LICENSE_REVIEW	SOC-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-01	grounding_epistemics	literal_grounding_vs_overinterpretation	PaCE; custom literal-grounding context flips	accuracy; context_sensitivity_gap	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-02	grounding_epistemics	known_inferred_unknown	custom provenance-neutral public suite; NLI+unknown constructions	macro_f1; brier	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-03	grounding_epistemics	evidence_sufficiency	QA evidence sufficiency candidates; custom evidence ablations	accuracy; auroc	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-04	grounding_epistemics	confidence_calibration	all qualified classification/ranking suites	ece; brier; nll	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-05	grounding_epistemics	ood_novel_situation_uncertainty	CLINC-OOS candidate; cross-domain heldouts	auroc; auprc; fpr95	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-06	grounding_epistemics	frame_raw_evidence_contradiction	custom generated ACFP conflict suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-06	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
EPI-07	grounding_epistemics	fact_interpretation_hypothetical_provenance	custom public provenance suite	macro_f1; brier	PENDING_N0_R2_EXACT_LICENSE_REVIEW	EPI-07	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
RANK-01	judgment_ranking	pairwise_candidate_comparison	RewardBench-style candidates; custom graded candidates	pairwise_accuracy; kendall_tau	PENDING_N0_R2_EXACT_LICENSE_REVIEW	RANK-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
RANK-02	judgment_ranking	listwise_candidate_ranking	listwise reward candidates; custom graded tiers	ndcg; spearman; kendall_tau	PENDING_N0_R2_EXACT_LICENSE_REVIEW	RANK-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
RANK-03	judgment_ranking	multi_criteria_candidate_comparison	P-Check-style criteria candidates; custom rubric-vector suite	macro_f1; ndcg	PENDING_N0_R2_EXACT_LICENSE_REVIEW	RANK-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
RANK-04	judgment_ranking	surface_robust_candidate_comparison	paraphrase/style perturbation suite	consistency_rate; robustness_delta	PENDING_N0_R2_EXACT_LICENSE_REVIEW	RANK-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
RANK-05	judgment_ranking	tie_plurality_abstention	ambiguous preference pairs; synthetic co-valid alternatives	tie_f1; selective_risk; coverage	PENDING_N0_R2_EXACT_LICENSE_REVIEW	RANK-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-01	acfp_graph_alignment	text_structured_field_consistency	custom public ACFP synthetic suite	accuracy; retrieval_recall	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-01	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-02	acfp_graph_alignment	text_graph_node_consistency	public text-attributed graph candidates; custom graph-text pairs	retrieval_recall; mrr	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-02	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-03	acfp_graph_alignment	relation_prediction_evidence_linkage	public relation extraction candidates; custom evidence graph suite	macro_f1; mrr	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-03	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-04	acfp_graph_alignment	source_span_attribution	rationale/evidence localization candidates; custom span-linked suite	token_f1; iou	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-04	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-05	acfp_graph_alignment	missing_field_unknown_awareness	custom field-ablation suite	macro_f1; brier	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-05	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
ALIGN-06	acfp_graph_alignment	raw_text_frame_conflict_detection	custom contradiction injection suite	accuracy; macro_f1	PENDING_N0_R2_EXACT_LICENSE_REVIEW	ALIGN-06	OPEN_BASELINE_AND_HUMAN_AUDIT_REQUIRED
